reply_tweet_id,customer_tweet_id,customer_author,customer_message,apple_reply,created_at,cluster_id,intent
1047275,1047276,367533,"Hi, Is it just my watch or is the watchOS4 a fast drainer of my battery life?",We can help look into the root cause as to why this is occurring. Send us a DM to get started.,Fri Oct 13 00:10:00 +0000 2017,7,battery_drain_after_update
181418,181416,158619,"Ah whoops they’re actually coming through now, but thank you!!! I think they were just taking a while to load, but didn’t say was loading","Perfect! We're glad to hear they showed up, and welcome you to tweet us anytime you have questions about your Apple products or services.",Sat Nov 25 02:07:28 +0000 2017,4,all_apps_crashing
2688131,2688132,254318,Does iPhone 7 have multi-window?,"Hi! The iPhone 7 does not have a swipe keyboard. For your second question about multi-window. If you're asking about a split-screen type of view, that is also not a feature of the iPhone 7.",Sun Nov 19 14:24:33 +0000 2017,10,recurring_device_issues
945502,945503,344193,needs to fix their shit. After so many updates my phone still be freezing.,We'd love to help out. What iPhone model? Is it running 11.0.3? Is it a specific app that's freezing or the whole device?,Sat Oct 14 00:43:29 +0000 2017,8,software_update_issues
1617108,1617109,495872,Yo wtf wrong with yalls “I️”,"Let's work on this together. Are you running iOS 11.1? If so, check out these steps as a work around:",Sun Nov 05 14:28:00 +0000 2017,9,keyboard_autocorrect_bug
2355129,2355127,680415,I basically refuse to update again. Don’t lie and say it’ll restore my battery life cos upgrading has never improved my phone’s anything—and you know it,Let's backup your device then update to the newest version. DM us if the issue remains.,Mon Nov 13 21:06:02 +0000 2017,8,software_update_issues
2304373,2304374,668614,"Who is responsible for this glitch? ? ? ? Come on now, let’s fix it.",We have released 11.1.1 to fix this issue. Make sure you have a backup and then go ahead and get your iPhone updated:,Sun Nov 12 19:59:26 +0000 2017,9,keyboard_autocorrect_bug
1901072,1901073,229595,I've been a loyal user for over 10 years but I'm at my wit's end. your NEW products are failing on me left &amp; right.,"If you're having trouble, we'd like to help. Send us a DM and let us know what devices you're working with, and what's going on.",Tue Oct 24 01:17:31 +0000 2017,3,customer_service_complaint
1376468,1376469,266631,Any chance I can uninstall the latest IOS update that has turned my phone into a laggy POS with shitty battery life?,Hey there! DM us so we can look into these issues with you.,Sat Oct 28 02:16:00 +0000 2017,7,battery_drain_after_update
1966662,1966663,582825,can we fix this predictive text thing? I️ and many others are having when we type I️?,Thank for reaching out. We'd like to gather more information. Please DM us what you are experiencing and the type of device.,Tue Oct 31 12:15:01 +0000 2017,9,keyboard_autocorrect_bug
1682437,1682435,511451,"Yep. In settings, the wifi is on but says not connected. I have to toggle it on and off 2-3 times before it allows me to be connected again.",Does this happen with any Wi-Fi network the iPhone 7 is connected to? When did you start noticing the Wi-Fi disconnecting?,Tue Nov 07 13:31:29 +0000 2017,4,all_apps_crashing
2364464,2364462,682654,"Hi, thanks for your reply. I managed to update it via my PC, as you suggested, and thankfully now all sorted. Thanks again. :)",Hello. You're welcome. We're glad to hear that everything is sorted. We hope that you have a wonderful day.,Tue Nov 14 19:45:26 +0000 2017,4,all_apps_crashing
1449277,1449278,456301,seems that iphone goes same direction as android!,We're happy to help out. Start by checking for available space at Settings &gt; General &gt; About &gt; Available,Mon Oct 16 19:36:00 +0000 2017,10,recurring_device_issues
2061873,2061874,609783,"My iPhone 6s says I have no space but I only have Snapchat, Instagram, and Netflix. Each run at 100+ MB. How do I fix this?","We want you to have the correct reported storage on your iPhone, so let's look into this. DM us which iOS version you have:",Fri Oct 06 13:05:00 +0000 2017,5,missing_photos
2850905,2850907,792707,I’ve found my Apple ID is locked for unknown security issue. I’m abroad and can’t receive SMS which is required for unlock ID. I’m stuck.,Let's reach out to our Account Security team for help with this issue.,Mon Nov 27 19:16:32 +0000 2017,1,account_and_store_issues
795831,795833,250267,Dear - please fix the iOS 11 display bug ...,Thanks for reaching out to us. Which iOS version are you running? Does this happen in every app that uses the keyboard?,Thu Oct 12 14:37:02 +0000 2017,6,ios_update_issues
