reply_tweet_id,customer_message,draft_reply,llm_score,human_score,human_notes
1046603,That doesn’t make much sense. Why not?,"We’d like to help clear this up and look into what's happening. Please send us a DM with more details on the issue, but remember not to share any personal information just yet.",2,3,
1851653,"Okay so the 2nd album loaded when I restarted the phone, but it got broken up into two separate albums.","We'd like to help get your album sorted out. Did you sync this music from a computer, or are you downloading it directly through Apple Music? Please join us in DM to continue, and remember not to share any personal info publicly.",5,5,
1966879,Battery draining faster than before after iOS 11.0.3 Update this is the worst ! #iwantogoback,We're here to help with your iPhone's battery. Which model iPhone do you have? Send us a DM with those details and we can dive into this together: https://twitter.com/messages/compose?recipient_id=AppleSupport,5,5,
459544,"Apple I’ve contacted y’all once and it got better but then this started again, it is making me very angry from the annoyance that it causes. WHAT IS WRONG WITH MY PHONE","We understand how frustrating recurring issues can be, and we want to help get this sorted out. Please DM us more details about what’s happening, including your iPhone model and current iOS version, so we can take a closer look with you.",5,5,
2118355,Latest IOS upgrade is haunting me...every night I turn wifi off bfore sleep ..i find it on the very next morning,"We understand how that would be frustrating, and we'd like to help. Are you turning Wi-Fi off in the Settings app or by using Control Center? Send us a DM with those details so we can assist further.",5,5,
1584560,Please help. Why do I️ get this weird character every time I️ type the letter “I️” in all Apple apps? iOS 11.2 beta iPhone 7Plus,We understand how frustrating that can be and want to help. Please send us a DM so we can look into this keyboard issue with you in a private channel.,4,4,
1512168,Tried restarting but doesn’t solve it. Updated the OS yesterday and it appeared once I updated.,We'd like to help get this sorted out for you. Please reach out to us via DM with more details about the exact issue you're seeing and the device model you're using so we can take a closer look together.,4,4,
1432424,I’m done with #icloudphoto after updating to #iOS111 my photos from 21000 to 6500 and my iphone showing uploading 😡,"We know how important your photos are, and we'd like to help look into what's happening. Please send us a DM with whether you were using iCloud Photos before the update so we can safely assist.",5,5,
53537,"Major security breach on iCloud evident - any issues reported? Sign-in and got other people’s information, books, music etc etc",We take security very seriously and want to look into this with you right away. Please join us in a DM so we can safely gather more details without sharing any personal information publicly.,5,5,
1808046,"your new update has ruined my phone. Slow, freezing screen, volume button doesn’t work and more",We'd like to help get your iPhone working properly again. Please send us a DM with your device model and the exact iOS version you're running so we can look into this with you.,5,4,
